timestamp	track	artist	album
1546982895	Doll	FERAL FIVE	Man Cat Doll Machine EP		8ab85226-c24c-4da0-8e16-091950c8d0ee	
1546982655	Cat	FERAL FIVE	Man Cat Doll Machine EP		8ab85226-c24c-4da0-8e16-091950c8d0ee	
1546982462	MAN CAT DOLL MACHINE	FERAL FIVE	Man Cat Doll Machine EP		8ab85226-c24c-4da0-8e16-091950c8d0ee	
1546982251	Kiss	FERAL FIVE	Kiss		8ab85226-c24c-4da0-8e16-091950c8d0ee	
1546982011	I Want U	FERAL FIVE	I Want U		8ab85226-c24c-4da0-8e16-091950c8d0ee	
1546981751	Angel Road - Tim Elsenburg Mix	FERAL FIVE	Angel Road		8ab85226-c24c-4da0-8e16-091950c8d0ee	
1546981511	Angel Road - Radio Edit	FERAL FIVE	Angel Road		8ab85226-c24c-4da0-8e16-091950c8d0ee	
1546981151	Angel Road - Dusk Til Dawn	FERAL FIVE	Angel Road		8ab85226-c24c-4da0-8e16-091950c8d0ee	
1546980946	Algorithm Prison Reconstructed (feat. Sisteray)	FERAL FIVE	Algorithm Prison		8ab85226-c24c-4da0-8e16-091950c8d0ee	
1546980675	Invisible	FERAL FIVE	3D EP	bee88dc8-566a-4514-ad03-5b46b60e0b43	8ab85226-c24c-4da0-8e16-091950c8d0ee	
1546980435	3D - Ether Mix	FERAL FIVE	3D EP		8ab85226-c24c-4da0-8e16-091950c8d0ee	
1546980234	3D	FERAL FIVE	3D EP	0acba79c-7e7f-431d-b3d9-d56af9a0194e	8ab85226-c24c-4da0-8e16-091950c8d0ee	
1546969936	20:45	Nick Hanzo	Last Day, Miracle!			
1546969636	Caroline	Nick Hanzo	Last Day, Miracle!			
1546968777	Memories	Solar Phasing	2018			
1546919589	Episode 278 - Vision 2020 (1/6/19)	Chapo Trap House				
1546876072	Yin and Yang (The Flowerpot Man)	Love And Rockets	Sorted!: The Best of Love and Rockets	703d236d-17f8-481d-99c2-8af33ea8048b	8cb3aa4a-3b4c-48b8-be0a-e57010fc1430	
1546875840	Ball of Confusion (That's What the World Is Today)	Love And Rockets	Sorted!: The Best of Love and Rockets		8cb3aa4a-3b4c-48b8-be0a-e57010fc1430	
1546831418	Doll	FERAL FIVE	Man Cat Doll Machine EP		8ab85226-c24c-4da0-8e16-091950c8d0ee	
1546817935	New Year's Day	Micropixie	New Year's Day			
1546764479	New Year's Day	Micropixie				
1546732938	Eden Reprised	Sunkings	Soul Sleeping	6ca55406-87e3-45a2-80df-6eaad8f0dd24	418ac93c-de97-4371-9313-0f073ba13e1d	2a4d2880-b67b-4e70-831d-452b44b788fb
1546732600	No New Tale to Tell	Love And Rockets	Sorted!: The Best of Love and Rockets	9d2e9110-5533-4fee-98a4-89a502c56a18	8cb3aa4a-3b4c-48b8-be0a-e57010fc1430	
1546732355	真夏の奇蹟	The Boom	THE BOOM2 (Red)	ab729b71-b967-4e0d-b3b1-654f23a106a2	cb5c85d0-2a96-463d-b05e-8acc18e1c8d2	
1546732083	Polyesterday	GusGus	Polydistortion		f5cff7b2-b19d-4934-8525-b17248b30ab3	dcb928fa-c187-4988-a2a4-bbd227165e15
1546731881	2222 Nicollet Avenue	The Sandwiches	Hey Cats, We're The Sandwiches		f2588900-db00-4ed3-bce5-0852e9570495	
1546731643	Absurd	Fluke	Risotto	93c6bb6b-ee79-4e0f-b032-75ac8f6c1b4a	3c3d3ad8-3935-4c00-affb-768563916f36	4ccad879-c2f9-4efd-b393-3cd7663f2949
1546731198	Trip Like I Do	The Crystal Method	Vegas	f8a0caee-6358-45a3-8ce8-1ce19a52a72b	aaf09f31-bb5c-43e5-9f54-bb6554c33a71	7a664645-ab08-4ffe-9ad2-a34c47029bb2
1546726311	When	Sunscreem	Change or Die	bdd0191d-6232-4be9-8cfd-80380eeba383	de212b3a-2f54-4def-a13d-5a877bfaeaf7	9c70eb30-1734-4616-bff3-40bc459f7994
1546725969	Bustier	Steel Shank	Let The Bidding War Begin			
1546725654	Lithium	Nirvana	From The Muddy Banks Of The Wishkah [Live]	3f5647db-6f12-4c36-94ea-2d06f2c7e8f9	9282c8b4-ca0b-4c6b-b7e3-4f7762dfc4d6	
1546720564	My Friend The Cow (Beljan Mín)	Bellatrix	Stranger Tales		7fe9c065-9007-430a-8554-8aba8d257c4c	916a4e70-19ed-4304-86ba-1a17edce80ac
1546720373	There's A Rhythm	Ron Sexsmith	Ron Sexsmith	235f0f5b-9d6c-4c31-9989-b91b3e7284d5	adbbaf02-cb2e-432d-b24b-f016e9a65a44	6bf27c3d-f27c-4b09-a5d3-ac230b90a093
1546720136	My Iron Lung	Radiohead	The Bends	938ecadc-f343-4c06-a754-c9f262be1088	a74b1b7f-71a5-4011-9441-d0b5e4122711	42b46c84-2359-326a-87ee-bb056bd300c8
1546719846	Reverend Black Grape	Black Grape	It's Great When You're Straight...Yeah	2cdf2d48-04e4-439b-bde4-f80067fcb229	2f6d511c-0bcd-4926-b363-a98848f63edd	
1546719617	Lost In Space	Luna	Penthouse	c5cd7a51-11ac-44de-8cda-45f94fdff596	f707b125-7334-448d-a64c-471aaee856aa	742967ce-dd8c-4f93-94b5-77c5098d95ae
1546717145	Tremendous Pain	Yello	Zebra	8c21fcc4-17fc-41e4-bc23-8b0bdc340f1a	c616aef1-e21f-46f8-864f-b7bad96f41b2	c558e8bb-12c5-4087-895c-ccd52cd0b18e
1546716963	Freedom's Waiting	Negativland	Free	b3f615a0-2c4d-425c-8b0a-7ae9b9481387	78c1866f-92d8-4180-98ea-fe88121aa195	56d9cbd4-7640-44f1-9637-f4b003253448
1546716731	Black Gold	Soul Asylum	Grave Dancers Union	ad74ccc1-f2bf-4aed-b0fe-2759f078da5f	b10db9ad-b4c3-47f3-a7a4-37864b134f65	7354cab6-5f48-3aac-a580-c497e6e8c838
1546716509	The Missing (live)	Ministry	In Case You Didn't Feel Like Showing Up (Live)	f588ef7c-15bf-4be0-b886-7e745930ad3f	13df2a46-f72f-40e7-aa63-26fcf62c7048	dbec8b2f-e1dc-4199-b26c-36e8a7aac6dd
1546716281	Desk Set	Agitpop	The Comm3 Sessions	b8dcdb4d-6056-43dd-9b46-cb086489b057	d1ddf858-db2d-46e3-985d-d3c075c9ee7a	056db33f-a227-47a1-ae76-39c8d79a7027
1546716120	She's Got You	Patsy Cline	12 Greatest Hits	1176d2aa-397c-4189-9bdd-35b0eca8fc05	ad82dd72-0df3-4a09-8d7a-1af9c9e80522	b8b551f6-e07a-4cc2-ac33-e35758d88796
1546715677	Big Mistake	Royal Crescent Mob	Midnight Rose's	d88ccff9-a311-433a-8cda-61bfa6b3a8b2	50eb1b22-e230-4e6e-bc8f-333af2a0c6d8	63391b72-df2f-470a-801d-e122b1b55311
1546713542	Big Mistake	Royal Crescent Mob	Midnight Rose's	d88ccff9-a311-433a-8cda-61bfa6b3a8b2	50eb1b22-e230-4e6e-bc8f-333af2a0c6d8	63391b72-df2f-470a-801d-e122b1b55311
1546710691	Another Morning	Béla Fleck	Double Time	f6920274-53f8-4276-8c32-6a6aada4ecaa	e1a889b7-5e45-447f-baa0-b9c6cbc0d39f	ad375465-03b8-4d85-a28c-f25aeb21d159
1546708711	This Is The Sea	The Waterboys	This Is The Sea	beb407c4-fceb-4654-88db-a4c83a09840f	21666405-49f8-44f6-94bb-e064f202f7ba	d78fa504-ecdb-4bd7-a47e-98584e6c875a
1546661482	Ronnie's Song (Live)	urban guerrillas	Armenian Heat Wave Dance Party			
